Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Data Scientist","Senior Data Scientist",AWS,7
"Data Scientist","Data Scientist - Quantitative",AWS,1
"Data Scientist","Digital Health Data Scientist",AWS,1
"ML Engineer","Machine Learning Engineer",AWS,2
"Data Scientist","Clinical Data Scientist",AWS,1
"Data Engineer","Data Engineer 4 - Contract",AWS,1
"Data Scientist","Customer Data Scientist/Sales Engineer",AWS,1
"Data Scientist","Senior Spark Engineer (Data Science)",AWS,1
"Data Scientist","Lead Data Scientist",AWS,1
"Data Engineer","Big Data Engineer - Chicago - Future Opportunity",AWS,1
"Data Scientist","R&D Sr Data Scientist",AWS,1
"Data Scientist","Staff Data Scientist",AWS,1
"Data Scientist","Customer Data Scientist/Sales Engineer (Bay",AWS,1
"Other Scientist","Research Scientist",AWS,1
"Data Analyst","Lead Health Data Analyst - Front End",AWS,1
"Data Engineer","sql_ Data Engineer",AWS,1
"Data Scientist","Sr. Data Scientist, Cyber-Security LT Contract",AWS,1
"Data Scientist","Principal Data Scientist with over 10 years experience",AWS,1
"Data Scientist","Sr. Data Scientist II",AWS,1
"Data Analyst","Information Security Data Analyst",AWS,1
"Data Scientist","Data Scientist, Senior",AWS,1
"ML Engineer","Senior Data & Machine Learning Scientist",AWS,1
"Data Scientist","Principal Data Scientist (Computational Chemistry)",AWS,1
"Data Engineer","Data Engineer, Data Engineering and Artifical Intelligence",AWS,1
"Data Engineer","Lead Data Engineer (Python)",AWS,1
"Other Scientist","RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT",AWS,1
"Data Scientist","Geospatial Software Developer and Data Scientist",AWS,1
"Data Scientist","Director Data Science",AWS,1
"Other Scientist","Sr Scientist, Immuno-Oncology - Oncology",AWS,1
"Data Engineer","Data Engineer - ETL",AWS,1
"Data Modeler","Data Modeler (Analytical Systems)",AWS,1
"Data Engineer","Staff Data Engineer",AWS,2
"Data Scientist","Product Manager/Data Evangelist",AWS,1
"Data Modeler","Data Architect / Data Modeler",AWS,1
"Data Analyst","Data Analyst, Performance Partnership",AWS,1
"Other Scientist","Associate Scientist / Sr. Associate Scientist, Antibody Discovery",AWS,1
"ML Engineer","Machine Learning Engineer (NLP)",AWS,1
Director,"Director, Precision Medicine Clinical Biomarker Scientist",AWS,1
"Data Engineer","Associate Data Engineer",AWS,1
"Other Scientist","Research Scientist or Senior Research Scientist - Computer Vision",AWS,1
"Data Engineer","Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",AWS,1
"Data Analyst","Foundational Community Supports Data Analyst",AWS,1
"Not Specified","Senior Engineer, Data Management Engineering",AWS,1
"Data Scientist","Principal Data Scientist",AWS,1
"Data Engineer","Sr. Data Engineer",AWS,1
"Data Engineer","Sr. Data Engineer | Big Data SaaS Pipeline",AWS,1
"Data Analyst","Data Analyst 1, full-time contract worker for up to 12 months",AWS,1
"Other Scientist","Scientist, Immuno-Oncology",AWS,1
"Data Scientist","Data Scientist (Warehouse Automation)",AWS,1
"Not Specified","Enterprise Architect, Data",AWS,1
"Data Scientist","Senior Manager, Epidemiologic Data Scientist",AWS,1
"Data Analyst","Corporate Risk Data Analyst (sql_ Based) - Milwaukee or",AWS,1
"Data Scientist","Senior LiDAR Data Scientist",AWS,1
"Data Engineer","Lead Big Data Engineer",AWS,1
"Data Scientist","Data Scientist",Excel,54
"Data Engineer","Data Engineer",Excel,18
"Data Analyst","Data Analyst",Excel,13
"Data Analyst","Marketing Data Analyst",Excel,1
"Data Engineer","Data Engineer I",Excel,1
"Data Scientist","Senior Data Scientist",Excel,13
"Other Scientist","Scientist I/II, Biology",Excel,1
"Data Scientist","Data Analytics Manager",Excel,1
"Data Scientist","Customer Data Scientist",Excel,1
"Data Scientist","Lead Data Scientist",Excel,3
"Data Analyst","Associate Data Analyst",Excel,2
"Data Scientist","Senior Data Scientist / Machine Learning",Excel,1
"Data Scientist","Data Scientist - Quantitative",Excel,1
"Data Scientist","Data Science Analyst",Excel,1
"Other Scientist","Staff Scientist-Downstream Process Development",Excel,1
"Other Scientist","Associate Scientist",Excel,1
